livre,langue,gutenberg,titre_gutenberg,auteurs_catalogue,verdict,raison
Don Quixote,fr,42524,L'ingénieux chevalier Don Quichotte de la Manche,"Cervantes Saavedra, Miguel de, 1547-1616; Roux, George, 1853-1929 [Illustrator]; Furne, Charles, 1794-1859 [Translator]",OK,traducteur décédé avant 1956
Don Quixote,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Don Quixote,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Don Quixote,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Huckleberry Finn,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Huckleberry Finn,de,64482,,,OK,"vérifié à la main : Traduction allemande non signée (édition Lutz, 1907)"
Alice's Adventures in Wonderland,fr,55456,Aventures d'Alice au pays des merveilles,"Carroll, Lewis, 1832-1898; Tenniel, John, 1820-1914 [Illustrator]; Bué, Henri, 1843-1929 [Translator]",OK,traducteur décédé avant 1956
Alice's Adventures in Wonderland,de,19778,,,OK,vérifié à la main : Traduction : Antonie Zimmermann (1869)
Alice's Adventures in Wonderland,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Alice's Adventures in Wonderland,it,28371,,,OK,vérifié à la main : Traduction : Teodorico Pietrocòla-Rossetti († 1883)
Alice's Adventures in Wonderland,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
Alice's Adventures in Wonderland,sv,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Count of Monte Cristo,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Count of Monte Cristo,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Count of Monte Cristo,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Odyssey,fr,14286,L'Odyssée,"Homer, 751? BCE-651? BCE; Leconte de Lisle, 1818-1894 [Translator]",OK,traducteur décédé avant 1956
The Odyssey,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Odyssey,es,58221,La Odisea,"Homer, 751? BCE-651? BCE; Flaxman, John, 1755-1826 [Illustrator]; Paget, Walter, 1863-1935 [Illustrator]; Segalá y Estalella, Luis, 1873-1938 [Translator]",OK,traducteur décédé avant 1956
The Odyssey,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Odyssey,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Iliad,fr,14285,L'Iliade,"Homer, 751? BCE-651? BCE; Leconte de Lisle, 1818-1894 [Translator]",OK,traducteur décédé avant 1956
The Iliad,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Iliad,es,57654,La Ilíada,"Homer, 751? BCE-651? BCE; Church, Alfred John, 1829-1912 [Illustrator]; Flaxman, John, 1755-1826 [Illustrator]; Segalá y Estalella, Luis, 1873-1938 [Translator]",OK,traducteur décédé avant 1956
The Iliad,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Iliad,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Divine Comedy,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Divine Comedy,de,8085,,,OK,vérifié à la main : Traduction allemande non signée
The Divine Comedy,es,57303,La Divina Comedia,"Dante Alighieri, 1265-1321; De Sanctis, Francesco, 1817-1883 [Contributor]; Aranda y Sanjuan, Manuel, 1845-1900 [Translator]",OK,traducteur décédé avant 1956
The Divine Comedy,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
Hamlet,fr,15032,Hamlet,"Shakespeare, William, 1564-1616; Guizot, François, 1787-1874 [Translator]",OK,traducteur décédé avant 1956
Hamlet,de,7276,"Hamlet, Prinz von Dännemark","Shakespeare, William, 1564-1616; Wieland, Christoph Martin, 1733-1813 [Translator]",OK,traducteur décédé avant 1956
Hamlet,es,56454,Hamlet: Drama en cinco actos,"Shakespeare, William, 1564-1616; Fernández de Moratín, Leandro, 1760-1828 [Translator]",OK,traducteur décédé avant 1956
Hamlet,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Hamlet,pt,25667,Hamlet: Drama em cinco Actos,"Shakespeare, William, 1564-1616; Luís I, Rei de Portugal, 1838-1889 [Translator]",OK,traducteur décédé avant 1956
Romeo and Juliet,fr,18143,Roméo et Juliette Tragédie,"Shakespeare, William, 1564-1616; Guizot, François, 1787-1874 [Translator]",OK,traducteur décédé avant 1956
Romeo and Juliet,de,6996,Romeo und Julia,"Shakespeare, William, 1564-1616; Schlegel, August Wilhelm von, 1767-1845 [Translator]",OK,traducteur décédé avant 1956
Romeo and Juliet,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Romeo and Juliet,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Romeo and Juliet,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
Faust,fr,54202,Faust [première partie],"Goethe, Johann Wolfgang von, 1749-1832; Delacroix, Eugène, 1798-1863 [Illustrator]; Stapfer, Philipp Albert, 1766-1840 [Translator]",OK,traducteur décédé avant 1956
Faust,es,68566,Fausto: Primera parte,"Goethe, Johann Wolfgang von, 1749-1832; Llorente, Teodoro, 1836-1911 [Translator]",OK,traducteur décédé avant 1956
Faust,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Faust,pt,,,,ABSENT,aucune édition trouvée sur Gutenberg
Meditations,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Meditations,de,15028,,,OK,"vérifié à la main : Traduction : F. C. Schneider (1864), édition d'Alexander von Gleichen-Rußwurm († 1947)"
Meditations,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Candide,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Candide,es,7109,,,OK,vérifié à la main : Traduction espagnole anonyme du XIXe siècle
Candide,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Prince,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Prince,de,39816,,,OK,"vérifié à la main : Traduction : August Wilhelm Rehberg († 1836), édition de Max Oberbreyer"
The Prince,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Prince,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Wealth of Nations,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Communist Manifesto,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Communist Manifesto,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Communist Manifesto,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Aesop's Fables,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Aesop's Fables,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Aesop's Fables,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Scarlet Letter,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Scarlet Letter,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Uncle Tom's Cabin,fr,38704,"La case de l'oncle Tom; ou, vie des nègres en Amérique","Stowe, Harriet Beecher, 1811-1896; Enault, Louis, 1824-1900 [Translator]",OK,traducteur décédé avant 1956
Uncle Tom's Cabin,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Uncle Tom's Cabin,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Uncle Tom's Cabin,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Common Sense,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
On Liberty,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
On Liberty,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
On the Origin of Species,fr,14158,,,OK,vérifié à la main : Traduction française non signée
On the Origin of Species,de,69172,Über die Entstehung der Arten im Thier- und Pflanzen-Reich durch natürliche Züchtung,"Darwin, Charles, 1809-1882; Bronn, H. G. (Heinrich Georg), 1800-1862 [Translator]",OK,traducteur décédé avant 1956
On the Origin of Species,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Secret Garden,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Secret Garden,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Wonderful Wizard of Oz,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Wonderful Wizard of Oz,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Wonderful Wizard of Oz,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Jungle Book,fr,54183,Le livre de la Jungle,"Kipling, Rudyard, 1865-1936; Fabulet, Louis, 1862-1933 [Translator]; Humières, Robert d', 1868-1915 [Translator]",OK,traducteur décédé avant 1956
The Jungle Book,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Little Women,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Little Women,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Call of the Wild,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Call of the Wild,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Last of the Mohicans,fr,16236,Le dernier des mohicans: Le roman de Bas-de-cuir,"Cooper, James Fenimore, 1789-1851; Defauconpret, A.-J.-B. (Auguste-Jean-Baptiste), 1767-1843 [Translator]",OK,traducteur décédé avant 1956
The Last of the Mohicans,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Time Machine,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Time Machine,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The War of the Worlds,fr,60656,La guerre des mondes,"Wells, H. G. (Herbert George), 1866-1946; Corrêa, Alvim, 1876-1910 [Illustrator]; Davray, Henry-D., 1873-1944 [Translator]",OK,traducteur décédé avant 1956
The War of the Worlds,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Invisible Man,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Invisible Man,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Island of Doctor Moreau,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Island of Doctor Moreau,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Hound of the Baskervilles,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Hound of the Baskervilles,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Three Musketeers,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Three Musketeers,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Three Musketeers,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Madame Bovary,de,15711,Frau Bovary,"Flaubert, Gustave, 1821-1880; Schurig, Arthur, 1870-1929 [Translator]",OK,traducteur décédé avant 1956
Madame Bovary,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Madame Bovary,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Pinocchio,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Pinocchio,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Pinocchio,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Betrothed,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Betrothed,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Betrothed,it,45334,,,OK,vérifié à la main : 
Heart,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Heart,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Heart,es,73486,,,OK,vérifié à la main : Traduction espagnole anonyme (édition de 1925)
Heart,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The House by the Medlar Tree,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Decameron,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Decameron,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Decameron,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Decameron,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
Metamorphoses,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Metamorphoses,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Metamorphoses,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Metamorphoses,it,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Republic,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Republic,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Republic,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Nicomachean Ethics,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Nicomachean Ethics,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Descent of Man,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Descent of Man,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Walden,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Walden,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
Civil Disobedience,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Prince and the Pauper,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Prince and the Pauper,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Tom Sawyer,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Adventures of Tom Sawyer,de,30165,,,OK,vérifié à la main : Traduction : H. Hellwag
The Adventures of Tom Sawyer,es,,,,ABSENT,aucune édition trouvée sur Gutenberg
Peter Pan,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Peter Pan,de,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Wonderful Adventures of Nils,fr,66480,Le Merveilleux voyage de Nils Holgersson à travers la Suède,"Lagerlöf, Selma, 1858-1940; Maury, Lucien, 1872-1953 [Author of introduction, etc.]; Hammar, T. (Thékla), 1872-1953 [Translator]",OK,traducteur décédé avant 1956
The Wonderful Adventures of Nils,de,31114,Wunderbare Reise des kleinen Nils Holgersson mit den Wildgänsen: Ein Kinderbuch,"Lagerlöf, Selma, 1858-1940; Schulz, Wilhelm, 1865-1952 [Illustrator]; Klaiber, Pauline, 1855-1944 [Translator]",OK,traducteur décédé avant 1956
The Wonderful Adventures of Nils,sv,,,,ABSENT,aucune édition trouvée sur Gutenberg
Anne of Green Gables,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Pilgrim's Progress,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Pilgrim's Progress,de,70845,,,OK,vérifié à la main : Traduction allemande non signée (édition de 1922)
Heart of Darkness,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
An Essay on the Principle of Population,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
On the Principles of Political Economy and Taxation,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
The Theory of Moral Sentiments,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
Second Treatise of Government,fr,,,,ABSENT,aucune édition trouvée sur Gutenberg
